source,job_type,month,year,job_id,job_title,salary,location,exp,level,industry,company_name,tools
Topcv,Business Analyst,12,2025,1883817,"Trợ Lý Ứng Dụng AI (Domain ERP, EdTech)- Senior BA",20.0,Hà Nội,1.0,Nhân viên,Giáo dục/Đào tạo,Trung Tâm Ngoại Ngữ Binggo Leaders,
Topcv,Business Analyst,12,2025,1970008,Business Analysis Senior Specialist,,Hồ Chí Minh,4.0,Trưởng nhóm,Sản xuất,Công ty Cổ phần Xuất nhập khẩu Bến Tre,"Power BI,SQL,SQL Server,Visio"
Topcv,Business Analyst,12,2025,1969685,Business Analyst,,Hồ Chí Minh,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY TNHH AMARIS VIỆT NAM,"Confluence,Jira"
Topcv,Business Analyst,12,2025,1931180,Chuyên Viên Số Hóa Nghiệp Vụ Bảo Hiểm,,Hà Nội,3.0,Trưởng nhóm,Bảo hiểm,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN,
Topcv,Business Analyst,12,2025,1951909,IT Business Analyst (BA),,Hồ Chí Minh,3.0,Nhân viên,IT - Phần mềm,CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ MOOV,"Confluence,Jira,Power BI,SQL,Tableau,Trello"
Topcv,Business Analyst,12,2025,1331872,Business Analyst,20.0,Hà Nội,2.0,Nhân viên,In ấn/Xuất bản,CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN APEC THĂNG LONG,
Topcv,Business Analyst,12,2025,1657234,Chuyên Viên Business Analyst - Kinh Nghiệm HIS,17.5,Hà Nội,3.0,Nhân viên,Dược phẩm/Y tế/Công nghệ sinh học,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,Mysql
Topcv,Business Analyst,12,2025,941516,"Business Analyst (Công Ty Product, Sign-In Bonus/Thưởng 1 Tháng Lương)",32.5,Hà Nội,4.0,Nhân viên,IT - Phần mềm,CÔNG TY TNHH CÁC GIẢI PHÁP SOFTEL,Perfect
Topcv,Business Analyst,12,2025,1952906,Chuyên Viên Phân Tích Nghiệp Vụ (Sản Phẩm BankHub),,Hà Nội,2.0,,,Công ty Cổ phần MISA,
Topcv,Business Analyst,12,2025,1951795,"Fresher Business Analyst (Từ 6 Tháng-1 Năm Kinh Nghiệm, Offer 9-15tr/Tháng)",12.0,Hà Nội,1.0,,,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,
Topcv,Business Analyst,12,2025,1968367,Salesforce Business Analyst,,Hồ Chí Minh,2.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY TNHH AMARIS VIỆT NAM,
Topcv,Business Analyst,12,2025,1967548,Business Analyst (1-4 YOE),17.0,Hà Nội,1.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN ICTS,
Topcv,Business Analyst,12,2025,1657154,Business Analyst,,Hồ Chí Minh,3.0,Trưởng nhóm,IT - Phần mềm,Công ty TNHH DMSpro,"Blueprint,Jira"
Topcv,Business Analyst,12,2025,1951300,Business Analyst (Từ 2 Năm Kinh Nghiệm),25.0,Hà Nội,2.0,Nhân viên,IT - Phần mềm,Công ty cổ phần Sphinx,SQL
Topcv,Business Analyst,12,2025,1940755,Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ/Executive Officer Of Business Analyst Tại Hà Nội,,Hà Nội,3.0,Nhân viên,Tài chính,CÔNG TY TÀI CHÍNH TÍN DỤNG TIÊU DÙNG TNHH MỘT THÀNH VIÊN AEON,
Topcv,Business Analyst,12,2025,1832215,Business Analyst,17.5,Hà Nội,1.0,Trưởng nhóm,Bán lẻ - Hàng tiêu dùng - FMCG,CÔNG TY CỔ PHẦN KIDZONE ADVENTURES,
Topcv,Business Analyst,12,2025,1949100,Phân Tích Nghiệp Vụ Phần Mềm Quản Lý Nhà Trường,,Hà Nội,2.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY TNHH CÔNG NGHỆ THIÊN AN,
Topcv,Business Analyst,12,2025,1948697,Thực Tập Sinh BA (Intern Business Analyst),,Hà Nội,0.0,Thực tập sinh,IT - Phần mềm,Công ty cổ phần Công nghệ VISSOFT,"Mysql,Oracle"
Topcv,Business Analyst,12,2025,1965854,Thực Tập Sinh Business Analyst,,Hồ Chí Minh,0.0,,,FPT IS,
Topcv,Business Analyst,12,2025,1870837,Chuyên Viên Business Analyst,22.5,Hà Nội,2.0,Trưởng nhóm,Nhân sự,CÔNG TY TNHH NEO TALENT,
Topcv,Business Analyst,12,2025,1310157,Phân Tích Nghiệp Vụ (Business Analyst),14.0,Hà Nội,2.0,Trưởng nhóm,Sản xuất,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ ĐÔNG HIỆP,Power BI
Topcv,Business Analyst,12,2025,1947514,Thực Tập Sinh Triển Khai Phần Mềm/Website,7.0,Hồ Chí Minh,0.0,Thực tập sinh,IT - Phần mềm,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,
Topcv,Business Analyst,12,2025,1948037,Business Analyst - Từ 2 Năm Kinh Nghiệm - Upto 30tr,20.0,Hà Nội,2.0,Nhân viên,Viễn thông,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALADIN,"Confluence,Jira,LucidChart"
Topcv,Business Analyst,12,2025,1948513,Business Analyst (BA),21.5,Hà Nội,1.0,Nhân viên,Marketing/Truyền thông/Quảng cáo,CÔNG TY CỔ PHẦN CROW GAMING,"Confluence,Jira"
Topcv,Business Analyst,12,2025,1940172,Nhân Viên Business Analyst - Mức Lương Thỏa Thuận Theo Năng Lực (Làm Việc Thứ 2-6),,Hồ Chí Minh,3.0,Nhân viên,Logistics - Vận tải,CÔNG TY TNHH DỊCH VỤ TIẾP VẬN TOÀN CẦU,LucidChart
Topcv,Business Analyst,12,2025,1946863,Business Analyst,15.0,Hà Nội,1.0,Nhân viên,IT - Phần mềm,Công ty Cổ phần JVB Việt Nam,
Topcv,Business Analyst,12,2025,1964492,"Business Analyst (Fintech, Insurance)",,Hồ Chí Minh,4.0,Trưởng nhóm,IT - Phần mềm,Unit Corp,SQL
